Nombre,Estado,Provincia,"Población
Censo 1981-03-01","Población
Censo 1991-03-01","Población
Censo 2001-11-01","Población
Censo 2011-11-01",Poblacion2018
Cubo de Bureba,Municipio,Burgos,207,154,93,104,98
Cubo de la Solana,Municipio,Soria,440,352,244,185,198
Cuelgamures,Municipio,Zamora,167,160,140,111,86
Cuéllar,Municipio,Segovia,9.049,9.097,9.230,9.714,9.584
Cuenca de Campos,Municipio,Valladolid,396,326,270,223,226
Cueva de Ágreda,Municipio,Soria,179,142,89,86,72
Cuevas del Valle,Municipio,Ávila,693,670,620,541,491
Cuevas de Provanco,Municipio,Segovia,310,254,196,151,135
Cuevas de San Clemente,Municipio,Burgos,105,72,68,52,45
Curiel de Duero,Municipio,Valladolid,212,178,126,130,126
Dehesa de Montejo,Municipio,Palencia,409,344,201,140,136
Dehesa de Romanos,Municipio,Palencia,104,68,47,38,42
Destriana,Municipio,León,1.251,1.142,790,593,495
Dévanos,Municipio,Soria,222,181,120,97,83
Deza,Municipio,Soria,628,437,374,261,216
Diego del Carpio,Municipio,Ávila,537,408,273,174,147
Dios le Guarde,Municipio,Salamanca,235,181,166,157,127
Domingo García,Municipio,Segovia,49,55,48,39,27
Donhierro,Municipio,Segovia,148,120,106,117,91
Doñinos de Ledesma,Municipio,Salamanca,190,117,106,88,73
Doñinos de Salamanca,Municipio,Salamanca,556,643,742,1.736,2.050
Donjimeno,Municipio,Ávila,154,168,129,95,79
Donvidas,Municipio,Ávila,115,86,67,44,33
Dueñas,Municipio,Palencia,3.146,3.090,2.964,2.804,2.633
Duruelo,Municipio,Segovia,112,119,140,177,178
Duruelo de la Sierra,Municipio,Soria,1.487,1.503,1.424,1.288,1.111
Éjeme,Municipio,Salamanca,290,288,173,151,126
El Arco,Municipio,Salamanca,117,100,89,97,86
El Arenal,Municipio,Ávila,1.255,1.154,1.059,1.027,972
El Barco de Ávila,Municipio,Ávila,2.584,2.541,2.560,2.688,2.368
